category,subcategory,skill_name,level,weighted_score,description,evidence_examples,developer_type
웹 프레임워크 - Flask,Flask 확장,Flask-SQLAlchemy,Intermediate,32,관계 매핑 + 마이그레이션,관계 매핑 + 마이그레이션,"Backend
웹 프레임워크 - Flask,Flask 확장,Flask-SQLAlchemy,Advanced,80,쿼리 최적화 + 커스텀 쿼리 클래스,쿼리 최적화 + 커스텀 쿼리 클래스,"Backend
웹 프레임워크 - Flask,Flask 확장,Flask-Login,Basic,8,login_required 데코레이터,login_required 데코레이터,"Backend
웹 프레임워크 - Flask,Flask 확장,Flask-Login,Intermediate,30,UserMixin + 커스텀 로더,UserMixin + 커스텀 로더,"Backend
웹 프레임워크 - Flask,Flask 확장,Flask-Login,Advanced,76,세션 관리 + remember_me 구현,세션 관리 + remember_me 구현,"Backend
웹 프레임워크 - Flask,Flask 확장,Flask-RESTful,Basic,9,Resource 기본 사용,Resource 기본 사용,"Backend
웹 프레임워크 - Flask,Flask 확장,Flask-RESTful,Intermediate,32,reqparse + marshal_with,reqparse + marshal_with,"Backend
웹 프레임워크 - Flask,Flask 확장,Flask-RESTful,Advanced,80,커스텀 필드 + 에러 핸들러,커스텀 필드 + 에러 핸들러,"Backend
웹 프레임워크 - Flask,Flask 확장,Flask-SocketIO,Intermediate,35,기본 이벤트 송수신,기본 이벤트 송수신,"Backend
웹 프레임워크 - Flask,Flask 확장,Flask-SocketIO,Advanced,80,룸 관리 + 네임스페이스 + 인증,룸 관리 + 네임스페이스 + 인증,"Backend
비동기 프로그래밍 (asyncio),asyncio 기초,async/await,Basic,8,async def 함수 정의만,async def 함수 정의만,Backend
비동기 프로그래밍 (asyncio),asyncio 기초,async/await,Intermediate,30,await 체이닝 + 에러 처리,await 체이닝 + 에러 처리,Backend
비동기 프로그래밍 (asyncio),asyncio 기초,async/await,Advanced,76,비동기 컨텍스트 매니저 + 제너레이터,비동기 컨텍스트 매니저 + 제너레이터,Backend
비동기 프로그래밍 (asyncio),asyncio 기초,Task 생성,Basic,9,asyncio.run() 기본,asyncio.run() 기본,Backend
비동기 프로그래밍 (asyncio),asyncio 기초,Task 생성,Intermediate,32,create_task() + gather(),create_task() + gather(),Backend
비동기 프로그래밍 (asyncio),asyncio 기초,Task 생성,Advanced,80,TaskGroup + 타임아웃 제어,TaskGroup + 타임아웃 제어,Backend
비동기 프로그래밍 (asyncio),asyncio 기초,동시성 제어,Intermediate,35,Semaphore + Lock,Semaphore + Lock,Backend
비동기 프로그래밍 (asyncio),asyncio 기초,동시성 제어,Advanced,80,Queue + 워커 풀 패턴,Queue + 워커 풀 패턴,Backend
비동기 프로그래밍 (asyncio),비동기 라이브러리,aiohttp,Basic,9,ClientSession 기본 요청,ClientSession 기본 요청,Backend
비동기 프로그래밍 (asyncio),비동기 라이브러리,aiohttp,Intermediate,32,타임아웃 + 재시도 로직,타임아웃 + 재시도 로직,Backend
비동기 프로그래밍 (asyncio),비동기 라이브러리,aiohttp,Advanced,80,연결 풀 최적화 + 스트리밍,연결 풀 최적화 + 스트리밍,Backend
비동기 프로그래밍 (asyncio),비동기 라이브러리,httpx,Basic,9,AsyncClient 기본 사용,AsyncClient 기본 사용,"Backend
비동기 프로그래밍 (asyncio),비동기 라이브러리,httpx,Intermediate,30,인터셉터 + 이벤트 훅,인터셉터 + 이벤트 훅,"Backend
비동기 프로그래밍 (asyncio),비동기 라이브러리,httpx,Advanced,76,HTTP/2 + 커스텀 트랜스포트,HTTP/2 + 커스텀 트랜스포트,"Backend
비동기 프로그래밍 (asyncio),비동기 라이브러리,aiofiles,Basic,8,기본 파일 읽기/쓰기,기본 파일 읽기/쓰기,Backend
비동기 프로그래밍 (asyncio),비동기 라이브러리,aiofiles,Intermediate,30,대용량 파일 스트리밍,대용량 파일 스트리밍,Backend
비동기 프로그래밍 (asyncio),비동기 라이브러리,aiofiles,Advanced,72,비동기 파일 락 + 병렬 I/O,비동기 파일 락 + 병렬 I/O,Backend
데이터 분석 및 과학 계산,NumPy,배열 연산,Basic,8,배열 생성 + 기본 연산,배열 생성 + 기본 연산,"Data
데이터 분석 및 과학 계산,NumPy,배열 연산,Intermediate,30,브로드캐스팅 + 팬시 인덱싱,브로드캐스팅 + 팬시 인덱싱,"Data
데이터 분석 및 과학 계산,NumPy,배열 연산,Advanced,76,ufunc 활용 + 메모리 레이아웃 최적화,ufunc 활용 + 메모리 레이아웃 최적화,"Data
데이터 분석 및 과학 계산,NumPy,선형 대수,Intermediate,32,np.linalg 기본 함수,np.linalg 기본 함수,"Data
데이터 분석 및 과학 계산,NumPy,선형 대수,Advanced,80,고유값 분해 + SVD,고유값 분해 + SVD,"Data
데이터 분석 및 과학 계산,Pandas,DataFrame 조작,Basic,9,read_csv + 기본 조회,read_csv + 기본 조회,"Data
데이터 분석 및 과학 계산,Pandas,DataFrame 조작,Intermediate,32,groupby + merge/join,groupby + merge/join,"Data
데이터 분석 및 과학 계산,Pandas,DataFrame 조작,Advanced,80,pivot_table + 복잡한 변환,pivot_table + 복잡한 변환,"Data
데이터 분석 및 과학 계산,Pandas,데이터 정제,Basic,8,dropna() 기본 사용,dropna() 기본 사용,"Data
데이터 분석 및 과학 계산,Pandas,데이터 정제,Intermediate,30,fillna() + 타입 변환,fillna() + 타입 변환,"Data
데이터 분석 및 과학 계산,Pandas,데이터 정제,Advanced,76,커스텀 결측치 전략 + 이상치 탐지,커스텀 결측치 전략 + 이상치 탐지,"Data
데이터 분석 및 과학 계산,Pandas,성능 최적화,Intermediate,35,카테고리 타입 + chunksize,카테고리 타입 + chunksize,"Data
데이터 분석 및 과학 계산,Pandas,성능 최적화,Advanced,80,eval/query + 메모리 프로파일링,eval/query + 메모리 프로파일링,"Data
데이터 분석 및 과학 계산,시각화,matplotlib,Basic,8,plot() 기본 그래프,plot() 기본 그래프,"Data
데이터 분석 및 과학 계산,시각화,matplotlib,Intermediate,28,서브플롯 + 스타일 커스터마이징,서브플롯 + 스타일 커스터마이징,"Data
데이터 분석 및 과학 계산,시각화,matplotlib,Advanced,72,애니메이션 + 커스텀 아티스트,애니메이션 + 커스텀 아티스트,"Data
데이터 분석 및 과학 계산,시각화,seaborn,Basic,,9,"countplot, histplot 기본","countplot
데이터 분석 및 과학 계산,시각화,seaborn,Intermediate,30,pairplot + heatmap 커스터마이징,pairplot + heatmap 커스터마이징,"Data
데이터 분석 및 과학 계산,시각화,seaborn,Advanced,76,FacetGrid + 통계 시각화,FacetGrid + 통계 시각화,"Data
데이터 분석 및 과학 계산,시각화,plotly,Basic,9,기본 인터랙티브 차트,기본 인터랙티브 차트,"Data
데이터 분석 및 과학 계산,시각화,plotly,Intermediate,32,대시보드 레이아웃,대시보드 레이아웃,"Data
데이터 분석 및 과학 계산,시각화,plotly,Advanced,80,커스텀 콜백 + 실시간 업데이트,커스텀 콜백 + 실시간 업데이트,"Data
머신러닝 및 딥러닝,Scikit-learn,모델 학습,Basic,9,fit/predict 기본 사용,fit/predict 기본 사용,AI/ML
머신러닝 및 딥러닝,Scikit-learn,모델 학습,Intermediate,32,Pipeline + GridSearchCV,Pipeline + GridSearchCV,AI/ML
머신러닝 및 딥러닝,Scikit-learn,모델 학습,Advanced,80,커스텀 Estimator + 앙상블,커스텀 Estimator + 앙상블,AI/ML
머신러닝 및 딥러닝,Scikit-learn,전처리,Basic,8,StandardScaler 기본,StandardScaler 기본,AI/ML
머신러닝 및 딥러닝,Scikit-learn,전처리,Intermediate,30,ColumnTransformer + 커스텀 변환기,ColumnTransformer + 커스텀 변환기,AI/ML
머신러닝 및 딥러닝,Scikit-learn,전처리,Advanced,76,FeatureUnion + 전처리 파이프라인 최적화,FeatureUnion + 전처리 파이프라인 최적화,AI/ML
머신러닝 및 딥러닝,Scikit-learn,평가,Basic,8,accuracy_score 기본,accuracy_score 기본,AI/ML
머신러닝 및 딥러닝,Scikit-learn,평가,Intermediate,28,교차 검증 + 여러 메트릭,교차 검증 + 여러 메트릭,AI/ML
머신러닝 및 딥러닝,Scikit-learn,평가,Advanced,72,커스텀 스코어 함수 + 학습 곡선 분석,커스텀 스코어 함수 + 학습 곡선 분석,AI/ML
머신러닝 및 딥러닝,TensorFlow/Keras,모델 구축,Basic,10,Sequential 기본 모델,Sequential 기본 모델,AI/ML
머신러닝 및 딥러닝,TensorFlow/Keras,모델 구축,Intermediate,35,Functional API + 커스텀 레이어,Functional API + 커스텀 레이어,AI/ML
머신러닝 및 딥러닝,TensorFlow/Keras,모델 구축,Advanced,80,Subclassing + 커스텀 훈련 루프,Subclassing + 커스텀 훈련 루프,AI/ML
머신러닝 및 딥러닝,TensorFlow/Keras,학습,Basic,9,model.fit() 기본,model.fit() 기본,AI/ML
머신러닝 및 딥러닝,TensorFlow/Keras,학습,Intermediate,32,콜백 + 체크포인트,콜백 + 체크포인트,AI/ML
머신러닝 및 딥러닝,TensorFlow/Keras,학습,Advanced,80,tf.GradientTape + 분산 학습,tf.GradientTape + 분산 학습,AI/ML
머신러닝 및 딥러닝,TensorFlow/Keras,최적화,Intermediate,35,모델 저장/로드 + 양자화,모델 저장/로드 + 양자화,AI/ML
머신러닝 및 딥러닝,TensorFlow/Keras,최적화,Advanced,80,TensorRT + TFLite 변환,TensorRT + TFLite 변환,AI/ML
머신러닝 및 딥러닝,PyTorch,모델 정의,Basic,10,nn.Module 기본 상속,nn.Module 기본 상속,AI/ML
머신러닝 및 딥러닝,PyTorch,모델 정의,Intermediate,35,커스텀 nn.Module + forward 구현,커스텀 nn.Module + forward 구현,AI/ML
머신러닝 및 딥러닝,PyTorch,모델 정의,Advanced,80,동적 그래프 + 커스텀 autograd 함수,동적 그래프 + 커스텀 autograd 함수,AI/ML
머신러닝 및 딥러닝,PyTorch,학습 루프,Basic,9,기본 훈련 루프,기본 훈련 루프,AI/ML
머신러닝 및 딥러닝,PyTorch,학습 루프,Intermediate,32,DataLoader + 학습/검증 분리,DataLoader + 학습/검증 분리,AI/ML
머신러닝 및 딥러닝,PyTorch,학습 루프,Advanced,80,분산 학습 + 혼합 정밀도,분산 학습 + 혼합 정밀도,AI/ML
머신러닝 및 딥러닝,PyTorch,최적화,Intermediate,35,옵티마이저 선택 + 스케줄러,옵티마이저 선택 + 스케줄러,AI/ML
머신러닝 및 딥러닝,PyTorch,최적화,Advanced,80,torch.jit + ONNX 내보내기,torch.jit + ONNX 내보내기,AI/ML
머신러닝 및 딥러닝,Hugging Face & LangChain,Transformers,Basic,10,pipeline() 기본 사용,pipeline() 기본 사용,AI/ML
머신러닝 및 딥러닝,Hugging Face & LangChain,Transformers,Intermediate,38,모델 미세 조정 + Trainer,모델 미세 조정 + Trainer,AI/ML
머신러닝 및 딥러닝,Hugging Face & LangChain,Transformers,Advanced,80,커스텀 모델 + 양자화,커스텀 모델 + 양자화,AI/ML
머신러닝 및 딥러닝,Hugging Face & LangChain,LangChain,Basic,10,기본 체인 생성,기본 체인 생성,AI/ML
머신러닝 및 딥러닝,Hugging Face & LangChain,LangChain,Intermediate,40,메모리 + 에이전트,메모리 + 에이전트,AI/ML
머신러닝 및 딥러닝,Hugging Face & LangChain,LangChain,Advanced,80,커스텀 도구 + RAG 파이프라인,커스텀 도구 + RAG 파이프라인,AI/ML
머신러닝 및 딥러닝,Hugging Face & LangChain,벡터 DB 통합,Intermediate,35,Chroma/FAISS 기본,Chroma/FAISS 기본,AI/ML
머신러닝 및 딥러닝,Hugging Face & LangChain,벡터 DB 통합,Advanced,80,하이브리드 검색 + 리랭킹,하이브리드 검색 + 리랭킹,AI/ML
데이터베이스 연동,SQL 데이터베이스,기본 연결,Basic,6,sqlite3 기본 연결,sqlite3 기본 연결,"Data
데이터베이스 연동,SQL 데이터베이스,기본 연결,Intermediate,25,연결 풀 + 파라미터화 쿼리,연결 풀 + 파라미터화 쿼리,"Data
데이터베이스 연동,SQL 데이터베이스,기본 연결,Advanced,,68,"비동기 DB (asyncpg, aiomysql)","비동기 DB (asyncpg
데이터베이스 연동,SQL 데이터베이스,SQLAlchemy Core,Basic,8,기본 쿼리 실행,기본 쿼리 실행,"Data
데이터베이스 연동,SQL 데이터베이스,SQLAlchemy Core,Intermediate,30,트랜잭션 + 조인,트랜잭션 + 조인,"Data
데이터베이스 연동,SQL 데이터베이스,SQLAlchemy Core,Advanced,76,CTE + Window 함수,CTE + Window 함수,"Data
데이터베이스 연동,SQL 데이터베이스,SQLAlchemy ORM,Basic,9,기본 모델 CRUD,기본 모델 CRUD,"Data
데이터베이스 연동,SQL 데이터베이스,SQLAlchemy ORM,Intermediate,35,관계 매핑 + 쿼리 최적화,관계 매핑 + 쿼리 최적화,"Data
데이터베이스 연동,SQL 데이터베이스,SQLAlchemy ORM,Advanced,80,하이브리드 프로퍼티 + 이벤트 리스너,하이브리드 프로퍼티 + 이벤트 리스너,"Data
데이터베이스 연동,NoSQL 데이터베이스,MongoDB (pymongo),Basic,9,기본 CRUD 연산,기본 CRUD 연산,"Data
데이터베이스 연동,NoSQL 데이터베이스,MongoDB (pymongo),Intermediate,32,집계 파이프라인 + 인덱스,집계 파이프라인 + 인덱스,"Data
데이터베이스 연동,NoSQL 데이터베이스,MongoDB (pymongo),Advanced,80,트랜잭션 + 샤딩 전략,트랜잭션 + 샤딩 전략,"Data
데이터베이스 연동,NoSQL 데이터베이스,Redis,Basic,9,get/set 기본 연산,get/set 기본 연산,"Data
데이터베이스 연동,NoSQL 데이터베이스,Redis,Intermediate,32,파이프라인 + Pub/Sub,파이프라인 + Pub/Sub,"Data
데이터베이스 연동,NoSQL 데이터베이스,Redis,Advanced,80,Lua 스크립트 + 클러스터,Lua 스크립트 + 클러스터,"Data
테스트 및 디버깅,pytest,기본 테스트,Basic,8,assert 기본 테스트,assert 기본 테스트,"All
테스트 및 디버깅,pytest,기본 테스트,Intermediate,28,fixture + parametrize,fixture + parametrize,"All
테스트 및 디버깅,pytest,기본 테스트,Advanced,76,커스텀 플러그인 + conftest 활용,커스텀 플러그인 + conftest 활용,"All
테스트 및 디버깅,pytest,모킹,Intermediate,32,monkeypatch + mock 객체,monkeypatch + mock 객체,"All
테스트 및 디버깅,pytest,모킹,Advanced,80,pytest-mock + 복잡한 모킹 시나리오,pytest-mock + 복잡한 모킹 시나리오,"All
테스트 및 디버깅,pytest,커버리지,Intermediate,30,pytest-cov 기본 사용,pytest-cov 기본 사용,"All
테스트 및 디버깅,pytest,커버리지,Advanced,76,브랜치 커버리지 + 커버리지 리포트,브랜치 커버리지 + 커버리지 리포트,"All
테스트 및 디버깅,디버깅,디버거 사용,Basic,6,print 디버깅만,print 디버깅만,"All
테스트 및 디버깅,디버깅,디버거 사용,Intermediate,28,pdb + breakpoint(),pdb + breakpoint(),"All
테스트 및 디버깅,디버깅,디버거 사용,Advanced,72,ipdb + 조건부 브레이크포인트,ipdb + 조건부 브레이크포인트,"All
테스트 및 디버깅,디버깅,로깅,Basic,8,print() 대신 logging 사용,print() 대신 logging 사용,"All
테스트 및 디버깅,디버깅,로깅,Intermediate,30,로그 레벨 + 핸들러 설정,로그 레벨 + 핸들러 설정,"All
테스트 및 디버깅,디버깅,로깅,Advanced,80,구조화된 로깅 + 로그 집계,구조화된 로깅 + 로그 집계,"All
테스트 및 디버깅,디버깅,프로파일링,Intermediate,32,cProfile 기본 사용,cProfile 기본 사용,"All
테스트 및 디버깅,디버깅,프로파일링,Advanced,80,line_profiler + memory_profiler,line_profiler + memory_profiler,"All
클라우드 및 배포,컨테이너화,Docker,Basic,8,기본 Dockerfile 작성,기본 Dockerfile 작성,DevOps
클라우드 및 배포,컨테이너화,Docker,Intermediate,32,멀티 스테이지 빌드 + .dockerignore,멀티 스테이지 빌드 + .dockerignore,DevOps
클라우드 및 배포,컨테이너화,Docker,Advanced,80,보안 강화 + 최적화된 이미지,보안 강화 + 최적화된 이미지,DevOps
클라우드 및 배포,컨테이너화,Docker Compose,Intermediate,30,다중 서비스 오케스트레이션,다중 서비스 오케스트레이션,DevOps
클라우드 및 배포,컨테이너화,Docker Compose,Advanced,76,환경별 설정 + 볼륨 관리,환경별 설정 + 볼륨 관리,DevOps
클라우드 및 배포,CI/CD,GitHub Actions,Basic,4,기본 워크플로우,기본 워크플로우,All
클라우드 및 배포,CI/CD,GitHub Actions,Intermediate,28,매트릭스 빌드 + 캐싱,매트릭스 빌드 + 캐싱,All
클라우드 및 배포,CI/CD,GitHub Actions,Advanced,68,재사용 가능한 워크플로우 + 시크릿 관리,재사용 가능한 워크플로우 + 시크릿 관리,All
클라우드 및 배포,CI/CD,배포 자동화,Basic,8,수동 배포 스크립트,수동 배포 스크립트,DevOps
클라우드 및 배포,CI/CD,배포 자동화,Intermediate,32,자동 배포 파이프라인,자동 배포 파이프라인,DevOps
클라우드 및 배포,CI/CD,배포 자동화,Advanced,80,Blue-Green + 카나리 배포,Blue-Green + 카나리 배포,DevOps
클라우드 및 배포,클라우드 플랫폼,AWS,Basic,9,EC2 기본 배포,EC2 기본 배포,"DevOps
클라우드 및 배포,클라우드 플랫폼,AWS,Intermediate,35,Lambda + S3 + RDS 통합,Lambda + S3 + RDS 통합,"DevOps
클라우드 및 배포,클라우드 플랫폼,AWS,Advanced,80,ECS/EKS + CloudFormation/CDK,ECS/EKS + CloudFormation/CDK,"DevOps
클라우드 및 배포,클라우드 플랫폼,Kubernetes,Intermediate,40,기본 배포 + 서비스,기본 배포 + 서비스,DevOps
클라우드 및 배포,클라우드 플랫폼,Kubernetes,Advanced,80,Helm + 오토스케일링 + 모니터링,Helm + 오토스케일링 + 모니터링,DevOps
코드 품질 및 스타일,코드 스타일,PEP 8 준수,Basic,6,기본적인 들여쓰기,기본적인 들여쓰기,All
코드 품질 및 스타일,코드 스타일,PEP 8 준수,Intermediate,,25,"자동 포맷터 (Black, autopep8)","자동 포맷터 (Black
코드 품질 및 스타일,코드 스타일,PEP 8 준수,Advanced,68,pre-commit + 팀 컨벤션,pre-commit + 팀 컨벤션,All
코드 품질 및 스타일,코드 스타일,Docstring,Basic,6,간단한 주석만,간단한 주석만,All
코드 품질 및 스타일,코드 스타일,Docstring,Intermediate,28,Google/NumPy 스타일 docstring,Google/NumPy 스타일 docstring,All
코드 품질 및 스타일,코드 스타일,Docstring,Advanced,72,Sphinx + autodoc + 타입 힌트 통합,Sphinx + autodoc + 타입 힌트 통합,All
코드 품질 및 스타일,코드 스타일,타입 힌트,Basic,8,일부 함수에만 타입 힌트,일부 함수에만 타입 힌트,All
코드 품질 및 스타일,코드 스타일,타입 힌트,Intermediate,30,대부분의 함수 + mypy 통과,대부분의 함수 + mypy 통과,All
코드 품질 및 스타일,코드 스타일,타입 힌트,Advanced,80,100% 커버리지 + strict 모드,100% 커버리지 + strict 모드,All
코드 품질 및 스타일,정적 분석,Linting,Basic,8,pylint/flake8 기본 실행,pylint/flake8 기본 실행,All
코드 품질 및 스타일,정적 분석,Linting,Intermediate,30,설정 파일 커스터마이징,설정 파일 커스터마이징,All
코드 품질 및 스타일,정적 분석,Linting,Advanced,76,커스텀 린트 규칙 + CI 통합,커스텀 린트 규칙 + CI 통합,All
코드 품질 및 스타일,정적 분석,보안 스캔,Intermediate,32,bandit 기본 스캔,bandit 기본 스캔,"Backend
코드 품질 및 스타일,정적 분석,보안 스캔,Advanced,80,safety + 의존성 취약점 자동 패치,safety + 의존성 취약점 자동 패치,"Backend
추가 프레임워크 및 라이브러리,작업 스케줄링,Celery,Basic,9,기본 태스크 정의,기본 태스크 정의,Backend
추가 프레임워크 및 라이브러리,작업 스케줄링,Celery,Intermediate,35,Celery Beat + 결과 백엔드,Celery Beat + 결과 백엔드,Backend
추가 프레임워크 및 라이브러리,작업 스케줄링,Celery,Advanced,80,분산 시스템 + 커스텀 라우팅,분산 시스템 + 커스텀 라우팅,Backend
추가 프레임워크 및 라이브러리,작업 스케줄링,APScheduler,Basic,8,기본 스케줄러,기본 스케줄러,All
추가 프레임워크 및 라이브러리,작업 스케줄링,APScheduler,Intermediate,30,Cron 표현식 + 저장소,Cron 표현식 + 저장소,All
추가 프레임워크 및 라이브러리,작업 스케줄링,APScheduler,Advanced,76,이벤트 리스너 + 동적 스케줄,이벤트 리스너 + 동적 스케줄,All
추가 프레임워크 및 라이브러리,작업 스케줄링,Airflow,Intermediate,40,DAG 작성 + 오퍼레이터,DAG 작성 + 오퍼레이터,"Data
추가 프레임워크 및 라이브러리,작업 스케줄링,Airflow,Advanced,80,커스텀 오퍼레이터 + 분산 실행,커스텀 오퍼레이터 + 분산 실행,"Data
추가 프레임워크 및 라이브러리,웹 스크래핑,BeautifulSoup,Basic,8,기본 파싱,기본 파싱,"Backend
추가 프레임워크 및 라이브러리,웹 스크래핑,BeautifulSoup,Intermediate,28,CSS/XPath 선택자,CSS/XPath 선택자,"Backend
추가 프레임워크 및 라이브러리,웹 스크래핑,BeautifulSoup,Advanced,68,복잡한 HTML 구조 + 에러 처리,복잡한 HTML 구조 + 에러 처리,"Backend
추가 프레임워크 및 라이브러리,웹 스크래핑,Scrapy,Basic,9,기본 스파이더,기본 스파이더,"Backend
추가 프레임워크 및 라이브러리,웹 스크래핑,Scrapy,Intermediate,35,미들웨어 + 파이프라인,미들웨어 + 파이프라인,"Backend
추가 프레임워크 및 라이브러리,웹 스크래핑,Scrapy,Advanced,80,분산 크롤링 + 커스텀 설정,분산 크롤링 + 커스텀 설정,"Backend
추가 프레임워크 및 라이브러리,웹 스크래핑,Playwright/Selenium,Basic,9,기본 자동화,기본 자동화,"QA
추가 프레임워크 및 라이브러리,웹 스크래핑,Playwright/Selenium,Intermediate,35,대기 전략 + 스크린샷,대기 전략 + 스크린샷,"QA
추가 프레임워크 및 라이브러리,웹 스크래핑,Playwright/Selenium,Advanced,80,네트워크 인터셉션 + 병렬 실행,네트워크 인터셉션 + 병렬 실행,"QA
추가 프레임워크 및 라이브러리,CLI 프레임워크,Click,Basic,8,기본 명령어,기본 명령어,All
추가 프레임워크 및 라이브러리,CLI 프레임워크,Click,Intermediate,28,서브 명령어 + 옵션,서브 명령어 + 옵션,All
추가 프레임워크 및 라이브러리,CLI 프레임워크,Click,Advanced,72,커스텀 타입 + 플러그인 시스템,커스텀 타입 + 플러그인 시스템,All
추가 프레임워크 및 라이브러리,CLI 프레임워크,Typer,Basic,9,타입 안전 CLI,타입 안전 CLI,All
추가 프레임워크 및 라이브러리,CLI 프레임워크,Typer,Intermediate,30,콜백 + 검증,콜백 + 검증,All
추가 프레임워크 및 라이브러리,CLI 프레임워크,Typer,Advanced,76,복잡한 CLI 앱 + 자동 완성,복잡한 CLI 앱 + 자동 완성,All
추가 프레임워크 및 라이브러리,API 클라이언트,requests,Basic,8,get/post 기본,get/post 기본,All
추가 프레임워크 및 라이브러리,API 클라이언트,requests,Intermediate,28,Session + 재시도 로직,Session + 재시도 로직,All
추가 프레임워크 및 라이브러리,API 클라이언트,requests,Advanced,72,인증 + 스트리밍 + 타임아웃 최적화,인증 + 스트리밍 + 타임아웃 최적화,All
추가 프레임워크 및 라이브러리,API 클라이언트,httpx,Basic,9,동기/비동기 기본,동기/비동기 기본,"Backend
추가 프레임워크 및 라이브러리,API 클라이언트,httpx,Intermediate,32,이벤트 훅 + HTTP/2,이벤트 훅 + HTTP/2,"Backend
추가 프레임워크 및 라이브러리,API 클라이언트,httpx,Advanced,80,커스텀 트랜스포트 + 연결 풀,커스텀 트랜스포트 + 연결 풀,"Backend
추가 프레임워크 및 라이브러리,데이터 검증,Pydantic v2,Basic,9,BaseModel 기본,BaseModel 기본,"Backend
추가 프레임워크 및 라이브러리,데이터 검증,Pydantic v2,Intermediate,32,@field_validator + 마이그레이션,@field_validator + 마이그레이션,"Backend
추가 프레임워크 및 라이브러리,데이터 검증,Pydantic v2,Advanced,80,Generic 모델 + 커스텀 직렬화,Generic 모델 + 커스텀 직렬화,"Backend
추가 프레임워크 및 라이브러리,데이터 검증,Marshmallow,Basic,9,스키마 정의,스키마 정의,"Backend
추가 프레임워크 및 라이브러리,데이터 검증,Marshmallow,Intermediate,30,커스텀 필드 + 전처리,커스텀 필드 + 전처리,"Backend
추가 프레임워크 및 라이브러리,데이터 검증,Marshmallow,Advanced,76,중첩 스키마 + 동적 스키마,중첩 스키마 + 동적 스키마,"Backend
모니터링 및 관찰성,로깅 및 추적,구조화된 로깅,Basic,8,logging 기본 설정,logging 기본 설정,"DevOps
모니터링 및 관찰성,로깅 및 추적,구조화된 로깅,Intermediate,30,structlog + JSON 포맷,structlog + JSON 포맷,"DevOps
모니터링 및 관찰성,로깅 및 추적,구조화된 로깅,Advanced,80,컨텍스트 변수 + 로그 집계,컨텍스트 변수 + 로그 집계,"DevOps
모니터링 및 관찰성,로깅 및 추적,분산 추적,Intermediate,35,OpenTelemetry 기본 계측,OpenTelemetry 기본 계측,"DevOps
모니터링 및 관찰성,로깅 및 추적,분산 추적,Advanced,80,커스텀 스팬 + 메트릭 통합,커스텀 스팬 + 메트릭 통합,"DevOps
모니터링 및 관찰성,로깅 및 추적,에러 추적,Basic,9,Sentry 기본 설정,Sentry 기본 설정,"DevOps
모니터링 및 관찰성,로깅 및 추적,에러 추적,Intermediate,32,컨텍스트 + 브레드크럼,컨텍스트 + 브레드크럼,"DevOps
모니터링 및 관찰성,로깅 및 추적,에러 추적,Advanced,80,커스텀 인테그레이션 + 릴리스 추적,커스텀 인테그레이션 + 릴리스 추적,"DevOps
보안,인증 및 권한,JWT,Basic,9,토큰 생성/검증 기본,토큰 생성/검증 기본,"Backend
보안,인증 및 권한,JWT,Intermediate,32,Refresh Token + 만료 처리,Refresh Token + 만료 처리,"Backend
보안,인증 및 권한,JWT,Advanced,80,커스텀 클레임 + 토큰 회전 전략,커스텀 클레임 + 토큰 회전 전략,"Backend
보안,인증 및 권한,OAuth2,Basic,9,기본 플로우 이해,기본 플로우 이해,"Backend
보안,인증 및 권한,OAuth2,Intermediate,35,Authorization Code + PKCE,Authorization Code + PKCE,"Backend
보안,인증 및 권한,OAuth2,Advanced,80,다중 제공자 + 동적 클라이언트 등록,다중 제공자 + 동적 클라이언트 등록,"Backend
보안,인증 및 권한,API 키 관리,Basic,8,환경 변수 사용,환경 변수 사용,"Backend
보안,인증 및 권한,API 키 관리,Intermediate,30,Secrets Manager 통합,Secrets Manager 통합,"Backend
보안,인증 및 권한,API 키 관리,Advanced,80,키 로테이션 + 감사 로그,키 로테이션 + 감사 로그,"Backend
보안,보안 강화,입력 검증,Basic,8,기본 타입 체크,기본 타입 체크,"Backend
보안,보안 강화,입력 검증,Intermediate,30,Pydantic 검증 + 새니타이징,Pydantic 검증 + 새니타이징,"Backend
보안,보안 강화,입력 검증,Advanced,80,OWASP 룰셋 + 커스텀 검증,OWASP 룰셋 + 커스텀 검증,"Backend
보안,보안 강화,암호화,Basic,8,bcrypt 기본 사용,bcrypt 기본 사용,"Backend
보안,보안 강화,암호화,Intermediate,32,Argon2 + Salt,Argon2 + Salt,"Backend
보안,보안 강화,암호화,Advanced,80,커스텀 KDF + HSM 통합,커스텀 KDF + HSM 통합,"Backend
메시지 큐 및 스트리밍,메시지 브로커,RabbitMQ,Basic,9,기본 송수신,기본 송수신,"Backend
메시지 큐 및 스트리밍,메시지 브로커,RabbitMQ,Intermediate,32,Exchange + 라우팅 키,Exchange + 라우팅 키,"Backend
메시지 큐 및 스트리밍,메시지 브로커,RabbitMQ,Advanced,80,우선순위 큐 + 데드 레터,우선순위 큐 + 데드 레터,"Backend
메시지 큐 및 스트리밍,메시지 브로커,Kafka,Basic,10,Producer/Consumer 기본,Producer/Consumer 기본,"Backend
